,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
40,RKLB,Rocket Lab Corporation,,68.85 +3.43 (+5.24%),3.43,+5.24%,14.947M,23.439M,33.321B,--,+558.15%,9.48 73.50
41,TOST,"Toast, Inc.",,37.62 +1.78 (+4.97%),1.78,+4.97%,3.978M,8.657M,21.932B,96.46,+24.75%,28.05 49.66
42,ADMA,"ADMA Biologics, Inc.",,15.28 +0.73 (+5.02%),0.73,+5.02%,1.564M,3.295M,3.646B,17.98,-12.24%,13.50 25.67
43,SAH,"Sonic Automotive, Inc.",,75.50 +3.64 (+5.07%),3.64,+5.07%,53774,211951,2.578B,16.74,+30.94%,52.00 89.62
44,YETI,"YETI Holdings, Inc.",,33.75 +1.55 (+4.81%),1.55,+4.81%,501252,2.03M,2.741B,16.15,-22.20%,26.61 45.25
45,ARX,Accelerant Holdings,,14.69 +0.64 (+4.59%),0.64,+4.59%,400962,1.777M,3.233B,73.47,-46.98%,12.88 31.18
46,OWL,Blue Owl Capital Inc.,,16.88 +0.75 (+4.69%),0.75,+4.69%,5.095M,8.858M,26.148B,153.41,-25.95%,14.55 26.73
47,NBTB,NBT Bancorp Inc.,,41.51 +1.85 (+4.68%),1.85,+4.68%,93672,185771,2.175B,14.93,-13.09%,37.31 52.44
48,AMSC,American Superconductor Corporation,,64.40 +2.83 (+4.60%),2.83,+4.60%,749391,1.173M,2.908B,161.00,+164.59%,13.98 65.70
49,DAVE,Dave Inc.,,211.71 +9.28 (+4.58%),9.28,+4.58%,233640,520187,2.858B,55.86,+341.70%,37.44 286.45
50,OMF,"OneMain Holdings, Inc.",,55.66 +2.40 (+4.51%),2.4,+4.51%,315627,995085,6.616B,10.03,+14.10%,38.00 63.25
51,DOCN,"DigitalOcean Holdings, Inc.",,41.03 +1.50 (+3.79%),1.5,+3.79%,2.467M,2.825M,3.735B,31.32,-10.16%,25.45 47.02
52,CAT,Caterpillar Inc.,,527.67 +22.91 (+4.54%),22.91,+4.54%,2.221M,2.926M,247.202B,26.87,+30.10%,267.30 528.45
53,CAMT,Camtek Ltd.,,124.44 +5.47 (+4.60%),5.47,+4.60%,244661,467310,5.687B,45.75,+43.87%,47.41 124.44
54,UAMY,United States Antimony Corporation,,18.27 +1.56 (+9.34%),1.56,+9.34%,39.363M,9.109M,2.494B,--,"+2,220.83%",0.49 19.70
55,SLM,SLM Corporation,,26.63 +1.13 (+4.43%),1.13,+4.43%,1.433M,2.583M,5.552B,12.93,+10.01%,21.10 34.97
56,EEFT,"Euronet Worldwide, Inc.",,86.61 +3.58 (+4.32%),3.58,+4.32%,442115,739120,3.437B,11.95,-16.19%,82.18 114.25
57,HCI,"HCI Group, Inc.",,196.30 +8.21 (+4.36%),8.21,+4.36%,73394,152278,2.544B,17.19,+61.74%,105.00 199.00
58,NOK,Nokia Oyj,,5.47 +0.22 (+4.29%),0.22,+4.29%,27.93M,27.342M,29.451B,28.82,+19.05%,3.91 5.48
59,LTM,LATAM Airlines Group S.A.,,43.88 +1.80 (+4.28%),1.8,+4.28%,371570,1.63M,13.336B,11.17,+62.66%,25.39 52.54
60,PBF,PBF Energy Inc.,,30.34 +1.23 (+4.24%),1.23,+4.24%,646325,3.561M,3.511B,--,-7.53%,13.62 34.29
61,ABNB,"Airbnb, Inc.",,123.83 +4.97 (+4.19%),4.97,+4.19%,2.661M,4.776M,75.816B,30.06,-10.81%,99.88 163.93
62,DPZ,"Domino's Pizza, Inc.",,425.62 +17.36 (+4.25%),17.36,+4.25%,854253,700157,14.45B,24.70,-4.45%,397.12 500.55
63,CPA,"Copa Holdings, S.A.",,127.90 +5.12 (+4.17%),5.12,+4.17%,82797,286750,5.261B,8.32,+25.86%,82.54 127.93
64,RUM,Rumble Inc.,,8.16 +0.32 (+4.15%),0.32,+4.15%,1.532M,3.234M,2.767B,--,+31.54%,5.25 17.40
65,KKR,KKR & Co. Inc.,,125.37 +4.93 (+4.09%),4.93,+4.09%,2.663M,3.688M,116.032B,59.14,-11.30%,86.15 170.40
66,DAL,"Delta Air Lines, Inc.",,61.05 +2.33 (+3.97%),2.33,+3.97%,4.281M,8.288M,39.863B,8.61,+11.36%,34.74 69.98
67,BLDR,"Builders FirstSource, Inc.",,125.50 +4.79 (+3.97%),4.79,+3.97%,956580,1.998M,13.874B,18.99,-38.33%,102.60 201.53
68,HPQ,HP Inc.,,28.43 +1.08 (+3.97%),1.08,+3.97%,8.424M,9.135M,26.578B,10.34,-26.02%,21.21 39.80
69,SYF,Synchrony Financial,,72.95 +2.81 (+4.01%),2.81,+4.01%,2.391M,3.297M,27.142B,8.86,+31.62%,40.55 77.41
70,FRPT,"Freshpet, Inc.",,50.31 +1.90 (+3.94%),1.9,+3.94%,616339,1.51M,2.454B,76.22,-66.40%,46.76 164.07
71,HRI,Herc Holdings Inc.,,124.94 +4.25 (+3.51%),4.25,+3.51%,117863,504879,4.153B,150.53,-28.17%,96.19 246.88
72,SFM,"Sprouts Farmers Market, Inc.",,110.76 +4.17 (+3.91%),4.17,+3.91%,1.438M,1.939M,10.824B,22.84,-8.80%,98.75 182.00
73,LUV,Southwest Airlines Co.,,33.15 +1.25 (+3.90%),1.25,+3.90%,3.099M,9.684M,17.407B,51.79,+4.62%,23.82 37.96
74,WMT,Walmart Inc.,,106.06 +3.94 (+3.86%),3.94,+3.86%,12.625M,15.987M,845.601B,40.17,+25.07%,79.81 106.11
75,TBBB,BBB Foods Inc.,,26.40 +0.98 (+3.84%),0.98,+3.84%,322884,590226,3.029B,--,-23.48%,23.00 35.22
76,AX,"Axos Financial, Inc.",,84.00 +3.12 (+3.86%),3.12,+3.86%,63309,346337,4.754B,11.30,+21.99%,54.46 93.84
