,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,FLNC,"Fluence Energy, Inc.",,19.52 +3.49 (+21.77%),3.49,+21.77%,9.062M,6.304M,3.563B,--,-22.41%,3.46 24.00
1,CIFR,Cipher Mining Inc.,,20.66 +3.40 (+19.73%),3.4,+19.73%,45.748M,41.106M,8.125B,--,+216.03%,1.86 22.00
2,FIX,"Comfort Systems USA, Inc.",,981.66 +156.66 (+18.99%),156.66,+18.99%,1.051M,407637,34.634B,34.97,+122.67%,276.44 861.77
3,GRND,Grindr Inc.,,15.06 +2.39 (+18.86%),2.39,+18.86%,11.109M,2.411M,2.891B,--,-3.50%,11.73 25.13
4,FRMI,Fermi Inc.,,23.54 +3.70 (+18.65%),3.7,+18.65%,4.526M,8.901M,14.069B,--,-39.01%,18.70 36.99
5,HUT,Hut 8 Corp.,,47.66 +7.02 (+17.27%),7.02,+17.27%,9.592M,6.403M,5.029B,27.82,+172.75%,10.04 57.29
6,IESC,"IES Holdings, Inc.",,436.98 +56.60 (+14.88%),56.6,+14.88%,303496,143728,8.676B,29.07,+82.88%,146.51 405.00
7,QS,QuantumScape Corporation,,16.82 +2.16 (+14.73%),2.16,+14.73%,46.61M,40.425M,8.796B,--,+136.83%,3.40 19.07
8,GTX,Garrett Motion Inc.,,16.99 +2.06 (+13.80%),2.06,+13.80%,7.625M,3.234M,3.425B,9.49,+100.67%,7.02 15.75
9,OPEN,Opendoor Technologies Inc.,,7.97 +0.94 (+13.37%),0.94,+13.37%,202.734M,273.202M,5.915B,--,+301.71%,0.51 10.87
10,IREN,IREN Limited,,62.90 +7.04 (+12.60%),7.04,+12.60%,33.881M,34.949M,17.108B,141.53,+503.89%,5.13 74.15
11,F,Ford Motor Company,,13.84 +1.50 (+12.16%),1.5,+12.16%,290.343M,81.429M,55.081B,11.04,+11.47%,8.44 12.80
12,EOSE,"Eos Energy Enterprises, Inc.",,16.06 +1.70 (+11.84%),1.7,+11.84%,20.313M,18.171M,4.484B,--,+329.94%,2.06 19.05
13,SNDK,Sandisk Corporation,,186.16 +19.11 (+11.44%),19.11,+11.44%,9.828M,5.526M,27.255B,--,+364.03%,27.89 167.95
14,ABTC,American Bitcoin Corp,,5.62 +0.57 (+11.29%),0.57,+11.29%,3.82M,4.031M,5.106B,1.84,+65.03%,0.63 14.65
15,LEU,Centrus Energy Corp.,,383.00 +38.77 (+11.26%),38.77,+11.26%,1.492M,1.518M,6.974B,55.92,+300.31%,49.40 464.25
16,LGN,Legence Corp.,,36.12 +3.52 (+10.80%),3.52,+10.80%,1.328M,1.279M,3.8B,--,+6.89%,26.96 36.56
17,NBIS,Nebius Group N.V.,,117.26 +11.10 (+10.46%),11.1,+10.46%,16.358M,17.347M,29.449B,122.64,+442.46%,17.27 141.10
18,PLBL,Polibeli Group Ltd,,7.61 +0.70 (+10.22%),0.7,+10.22%,21008,44218,2.786B,--,-35.69%,5.60 13.48
19,WU,The Western Union Company,,8.97 +0.83 (+10.20%),0.83,+10.20%,27.129M,10.094M,2.897B,3.51,-27.13%,7.85 11.95
20,PTRN,Pattern Group Inc.,,18.07 +1.65 (+10.05%),1.65,+10.05%,1.856M,1.964M,3.247B,28.81,+5.05%,12.00 16.55
21,COIN,"Coinbase Global, Inc.",,354.46 +31.70 (+9.82%),31.7,+9.82%,12.485M,9.956M,91.074B,31.12,+57.41%,142.58 444.65
22,CLSK,"CleanSpark, Inc.",,19.36 +1.70 (+9.59%),1.7,+9.59%,24.799M,28.276M,5.443B,18.00,+55.14%,6.45 23.61
23,CRCL,Circle Internet Group,,142.05 +12.19 (+9.39%),12.19,+9.39%,14.783M,11.251M,35.568B,--,+56.03%,64.00 298.99
24,ENVA,"Enova International, Inc.",,124.70 +10.67 (+9.36%),10.67,+9.36%,522788,294792,3.119B,10.54,+33.26%,79.41 130.34
25,OKLO,Oklo Inc.,,136.05 +11.35 (+9.10%),11.35,+9.10%,16.787M,20.269M,20.082B,--,+552.54%,17.14 193.84
26,BE,Bloom Energy Corporation,,110.38 +8.96 (+8.83%),8.96,+8.83%,10.371M,13.112M,25.829B,985.72,+967.58%,9.19 125.75
27,NXT,Nextracker Inc.,,98.28 +7.90 (+8.74%),7.9,+8.74%,4.791M,2.382M,14.917B,23.44,+187.29%,31.18 93.90
28,OUST,"Ouster, Inc.",,35.80 +2.81 (+8.52%),2.81,+8.52%,3.029M,2.819M,2.07B,--,+336.95%,6.34 41.65
29,ALB,Albemarle Corporation,,105.64 +8.28 (+8.50%),8.28,+8.50%,5.106M,4.076M,12.432B,--,+4.12%,49.43 113.91
30,AAOI,"Applied Optoelectronics, Inc.",,34.01 +2.61 (+8.31%),2.61,+8.31%,4.36M,5.234M,2.121B,--,+80.05%,9.71 44.50
31,NOVT,Novanta Inc.,,128.65 +9.83 (+8.27%),9.83,+8.27%,952712,384301,4.628B,70.31,-31.33%,98.76 184.11
32,GRAL,"GRAIL, Inc.",,89.39 +6.74 (+8.15%),6.74,+8.15%,994788,964156,3.222B,--,+535.77%,12.76 103.00
33,AAL,American Airlines Group Inc.,,13.78 +1.01 (+7.91%),1.01,+7.91%,89.52M,73.551M,9.092B,13.45,-2.89%,8.50 19.10
34,IBM,International Business Machines Corporation,,307.46 +22.46 (+7.88%),22.46,+7.88%,15.744M,5.225M,286.405B,34.04,+32.76%,203.51 301.04
35,AMD,"Advanced Micro Devices, Inc.",,252.92 +17.93 (+7.63%),17.93,+7.63%,66.933M,63.033M,410.45B,140.72,+50.41%,76.48 242.88
36,CRWV,"CoreWeave, Inc.",,132.55 +9.21 (+7.47%),9.21,+7.47%,19.354M,27.893M,65.626B,--,+208.35%,33.52 187.00
37,EME,"EMCOR Group, Inc.",,748.24 +51.96 (+7.46%),51.96,+7.46%,675643,580967,33.494B,28.90,+62.46%,320.89 704.09
38,AGX,"Argan, Inc.",,296.55 +20.43 (+7.40%),20.43,+7.40%,329882,382868,4.096B,33.23,+118.95%,101.02 320.00
39,ENVX,Enovix Corporation,,12.32 +0.84 (+7.32%),0.84,+7.32%,7.245M,7.948M,2.682B,--,+10.28%,5.27 16.49
40,ECG,"Everus Construction Group, Inc.",,93.89 +6.39 (+7.30%),6.39,+7.30%,492746,511332,4.789B,27.01,+78.57%,31.38 92.00
41,TWST,Twist Bioscience Corporation,,34.11 +2.28 (+7.16%),2.28,+7.16%,1.406M,1.799M,2.059B,--,-21.60%,24.07 55.33
42,STRL,"Sterling Infrastructure, Inc.",,379.08 +25.28 (+7.15%),25.28,+7.15%,523411,517434,11.64B,38.41,+134.83%,96.34 376.75
43,AMRC,"Ameresco, Inc.",,42.47 +2.82 (+7.11%),2.82,+7.11%,482404,748473,2.09B,33.87,+29.96%,8.49 44.93
44,CORZ,"Core Scientific, Inc.",,19.34 +1.28 (+7.09%),1.28,+7.09%,16.106M,15.703M,5.944B,--,+35.08%,6.20 20.36
45,BTDR,Bitdeer Technologies Group,,23.24 +1.52 (+7.00%),1.52,+7.00%,5.106M,5.784M,4.971B,--,+188.45%,6.84 27.80
46,CUBI,"Customers Bancorp, Inc.",,70.11 +4.56 (+6.96%),4.56,+6.96%,750585,350150,2.394B,13.20,+47.40%,40.75 72.51
47,POWL,"Powell Industries, Inc.",,364.99 +23.35 (+6.83%),23.35,+6.83%,310736,253501,4.405B,23.73,+34.34%,146.02 364.98
48,SEI,"Solaris Energy Infrastructure, Inc.",,50.92 +3.22 (+6.75%),3.22,+6.75%,3.125M,2.879M,3.224B,76.33,+255.44%,12.78 56.14
49,PATH,UiPath Inc.,,16.48 +1.04 (+6.74%),1.04,+6.74%,33.622M,20.354M,8.751B,418.43,+25.02%,9.38 18.74
50,RDDT,"Reddit, Inc.",,214.20 +13.38 (+6.66%),13.38,+6.66%,5.932M,6.584M,40.089B,173.73,+146.83%,79.02 282.95
51,WULF,TeraWulf Inc.,,13.71 +0.83 (+6.44%),0.83,+6.44%,23.414M,46.46M,5.623B,--,+101.88%,2.06 16.19
52,COHR,Coherent Corp.,,129.34 +7.82 (+6.44%),7.82,+6.44%,5.123M,4.091M,20.298B,--,+26.79%,45.58 125.00
53,LITE,Lumentum Holdings Inc.,,179.30 +10.80 (+6.41%),10.8,+6.41%,3.9M,3.268M,12.715B,455.41,+161.77%,45.65 178.49
54,CEG,Constellation Energy Corporation,,389.19 +23.39 (+6.39%),23.39,+6.39%,2.721M,2.439M,121.585B,38.20,+38.35%,161.35 412.70
55,TLN,Talen Energy Corporation,,407.81 +23.99 (+6.25%),23.99,+6.25%,950614,986300,18.631B,100.47,+111.76%,158.08 451.28
56,MU,"Micron Technology, Inc.",,219.02 +12.31 (+5.96%),12.31,+5.96%,22.94M,23.102M,245.843B,27.23,+91.56%,61.54 214.75
57,MOD,Modine Manufacturing Company,,161.27 +8.87 (+5.82%),8.87,+5.82%,766254,955921,8.465B,44.91,+19.76%,64.79 164.89
58,ONDS,Ondas Holdings Inc.,,7.46 +0.40 (+5.67%),0.4,+5.67%,50.135M,47.22M,2.605B,--,+722.84%,0.57 11.70
59,NWG,NatWest Group plc,,15.34 +0.82 (+5.65%),0.82,+5.65%,4.811M,3.229M,58.212B,--,+53.00%,9.16 15.52
60,SAM,"The Boston Beer Company, Inc.",,231.60 +11.97 (+5.45%),11.97,+5.45%,469965,235678,2.522B,26.63,-25.79%,185.34 329.55
61,FSLR,"First Solar, Inc.",,241.41 +12.41 (+5.42%),12.41,+5.42%,2.392M,2.612M,25.891B,19.39,+15.38%,116.56 248.04
62,RXRX,"Recursion Pharmaceuticals, Inc.",,6.04 +0.31 (+5.41%),0.31,+5.41%,37.686M,36.659M,2.637B,--,-11.57%,3.79 12.36
63,AMSC,American Superconductor Corporation,,59.58 +3.05 (+5.40%),3.05,+5.40%,945547,1.204M,2.691B,150.14,+146.53%,13.98 70.49
64,VST,Vistra Corp.,,201.47 +10.10 (+5.28%),10.1,+5.28%,4.26M,4.523M,68.262B,29.27,+54.29%,90.51 219.82
65,AMR,"Alpha Metallurgical Resources, Inc.",,164.31 +8.20 (+5.25%),8.2,+5.25%,268075,341434,2.145B,--,-24.22%,97.41 255.04
66,RUN,Sunrun Inc.,,20.85 +1.03 (+5.20%),1.03,+5.20%,7.286M,12.714M,4.811B,--,+37.93%,5.38 22.44
67,WRD,WeRide Inc.,,10.64 +0.52 (+5.14%),0.52,+5.14%,6.809M,7.101M,3.328B,--,-38.85%,6.03 44.00
68,APP,AppLovin Corporation,,620.00 +30.30 (+5.14%),30.3,+5.14%,3.474M,7.53M,209.715B,75.94,+264.85%,158.33 745.61
69,QBTS,D-Wave Quantum Inc.,,32.65 +1.59 (+5.12%),1.59,+5.12%,64.408M,51.485M,11.167B,--,"+2,886.54%",0.98 46.75
70,STUB,"StubHub Holdings, Inc.",,20.13 +0.98 (+5.12%),0.98,+5.12%,3.644M,6.558M,7.404B,--,-12.95%,16.11 27.89
71,NP,Neptune Insurance Holdings Inc.,,26.37 +1.28 (+5.10%),1.28,+5.10%,362297,1.393M,3.463B,--,+1.17%,22.30 33.24
72,PL,Planet Labs PBC,,13.61 +0.66 (+5.10%),0.66,+5.10%,6.618M,11.871M,4.191B,--,+463.04%,2.19 16.78
73,MYRG,MYR Group Inc.,,219.63 +10.49 (+5.02%),10.49,+5.02%,249270,222948,3.409B,43.87,+82.88%,97.72 220.02
74,SEDG,"SolarEdge Technologies, Inc.",,39.70 +1.88 (+4.97%),1.88,+4.97%,4.309M,4.133M,2.357B,--,+134.76%,10.24 41.92
75,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",,28.77 +1.36 (+4.96%),1.36,+4.96%,330739,103365,2.434B,--,+8.34%,21.30 30.07
76,CLS,Celestica Inc.,,296.62 +13.89 (+4.91%),13.89,+4.91%,2.77M,3.273M,34.121B,57.76,+307.51%,58.05 296.85
77,FLG,"Flagstar Bank, National Association",,12.11 +0.55 (+4.76%),0.55,+4.76%,9.528M,5.58M,5.032B,--,+9.57%,8.56 13.35
78,COMP,"Compass, Inc.",,8.03 +0.36 (+4.69%),0.36,+4.69%,13.834M,10.42M,4.477B,--,+35.99%,5.10 10.25
79,FHB,"First Hawaiian, Inc.",,24.78 +1.11 (+4.69%),1.11,+4.69%,1.65M,995642,3.088B,--,-1.21%,20.32 28.80
80,CRS,Carpenter Technology Corporation,,314.21 +13.94 (+4.64%),13.94,+4.64%,1.645M,940857,15.663B,36.72,+93.14%,138.61 307.72
81,SSNC,"SS&C Technologies Holdings, Inc.",,84.63 +3.75 (+4.64%),3.75,+4.64%,2.955M,1.183M,20.668B,24.00,+15.48%,66.83 91.07
82,PRIM,Primoris Services Corporation,,142.37 +6.25 (+4.59%),6.25,+4.59%,710667,889000,7.69B,30.94,+123.04%,49.10 142.84
83,RIOT,"Riot Platforms, Inc.",,21.42 +0.93 (+4.54%),0.93,+4.54%,14.398M,34.974M,7.917B,--,+112.55%,6.19 23.94
84,FUTU,Futu Holdings Limited,,178.38 +7.69 (+4.51%),7.69,+4.51%,2.503M,2.412M,24.835B,23.55,+84.37%,70.60 199.86
85,ASGN,ASGN Incorporated,,46.49 +1.99 (+4.47%),1.99,+4.47%,1.013M,595103,2.036B,15.06,-52.02%,42.77 101.66
86,HTH,Hilltop Holdings Inc.,,33.89 +1.45 (+4.47%),1.45,+4.47%,477762,410282,2.135B,13.00,+7.38%,26.67 36.14
87,AAON,"AAON, Inc.",,106.24 +4.49 (+4.41%),4.49,+4.41%,681880,1.206M,8.662B,69.15,-8.49%,62.00 144.07
88,GS,"The Goldman Sachs Group, Inc.",,783.88 +33.10 (+4.41%),33.1,+4.41%,2.504M,1.872M,295.959B,15.06,+46.47%,439.38 825.25
89,SBCF,Seacoast Banking Corporation of Florida,,31.44 +1.32 (+4.38%),1.32,+4.38%,373488,618628,3.074B,18.48,+14.39%,21.36 32.33
90,NNE,NANO Nuclear Energy Inc.,,44.34 +1.85 (+4.35%),1.85,+4.35%,3.523M,4.065M,2.228B,--,+121.53%,16.58 60.87
91,SIMO,Silicon Motion Technology Corporation,,99.13 +4.10 (+4.31%),4.1,+4.31%,330615,354176,3.369B,41.31,+69.51%,37.21 104.90
92,SNY,Sanofi,,51.64 +2.12 (+4.28%),2.12,+4.28%,4.533M,3.189M,126.414B,--,-8.87%,44.62 60.12
93,PTON,"Peloton Interactive, Inc.",,7.82 +0.32 (+4.27%),0.32,+4.27%,10.898M,13.917M,3.189B,--,+19.43%,4.63 10.90
94,GM,General Motors Company,,69.66 +2.81 (+4.20%),2.81,+4.20%,12.553M,8.235M,64.983B,14.02,+28.38%,41.60 68.48
95,SRPT,"Sarepta Therapeutics, Inc.",,22.81 +0.92 (+4.20%),0.92,+4.20%,3.455M,9.485M,2.388B,--,-83.31%,10.42 138.81
96,TBBK,"The Bancorp, Inc.",,78.74 +3.16 (+4.18%),3.16,+4.18%,374895,654978,3.627B,16.26,+60.77%,40.51 81.65
97,MGNI,"Magnite, Inc.",,19.94 +0.80 (+4.18%),0.8,+4.18%,1.829M,2.906M,2.839B,67.14,+53.49%,8.22 26.65
98,PKX,POSCO Holdings Inc.,,55.99 +2.24 (+4.17%),2.24,+4.17%,169566,128523,17.117B,44.40,-10.45%,39.40 62.74
99,PII,Polaris Inc.,,70.85 +2.79 (+4.10%),2.79,+4.10%,1.528M,1.458M,3.984B,--,-4.48%,30.92 74.75
100,HOOD,"Robinhood Markets, Inc.",,139.79 +5.46 (+4.06%),5.46,+4.06%,22.532M,39.67M,124.228B,68.37,+396.42%,23.00 153.86
101,VIA,"Via Transportation, Inc.",,50.80 +1.98 (+4.06%),1.98,+4.06%,163124,502140,3.874B,--,-1.39%,43.50 56.31
102,GH,"Guardant Health, Inc.",,72.15 +2.80 (+4.04%),2.8,+4.04%,2.469M,2.598M,8.998B,--,+238.13%,20.14 70.33
103,CGON,"CG Oncology, Inc.",,43.67 +1.69 (+4.03%),1.69,+4.03%,594316,923629,3.33B,--,+15.39%,14.80 45.56
104,NRG,"NRG Energy, Inc.",,170.36 +6.55 (+4.00%),6.55,+4.00%,1.595M,2.527M,32.953B,74.61,+87.15%,79.57 175.96
105,BBAI,"BigBear.ai Holdings, Inc.",,7.05 +0.27 (+3.98%),0.27,+3.98%,291.591M,96.696M,3.077B,--,+326.42%,1.51 10.36
106,VLY,Valley National Bancorp,,10.98 +0.42 (+3.98%),0.42,+3.98%,16.345M,10.153M,6.146B,12.01,+13.92%,7.48 11.17
107,AVAV,"AeroVironment, Inc.",,378.54 +14.26 (+3.91%),14.26,+3.91%,780960,1.079M,18.901B,--,+64.91%,102.25 417.86
108,BULL,Webull Corporation,,11.51 +0.43 (+3.88%),0.43,+3.88%,18.127M,20.322M,5.692B,31.49,-3.23%,9.54 79.56
109,LIF,"Life360, Inc.",,94.90 +3.54 (+3.87%),3.54,+3.87%,481598,901303,7.359B,257.14,+113.36%,29.62 112.54
110,LUMN,"Lumen Technologies, Inc.",,8.09 +0.30 (+3.85%),0.3,+3.85%,22.522M,15.376M,8.301B,--,+20.96%,3.01 10.33
111,DYN,"Dyne Therapeutics, Inc.",,17.12 +0.63 (+3.82%),0.63,+3.82%,1.776M,2.63M,2.436B,--,-46.34%,6.36 35.68
112,KLAR,Klarna Group plc,,38.41 +1.41 (+3.81%),1.41,+3.81%,2.319M,4.117M,14.511B,--,-13.43%,35.01 47.48
113,ESBA,"Empire State Realty OP, L.P.",,7.93 +0.29 (+3.80%),0.29,+3.80%,17246,5559,2.103B,33.21,-29.59%,6.39 11.28
114,UAL,"United Airlines Holdings, Inc.",,99.31 +3.63 (+3.79%),3.63,+3.79%,6.34M,5.747M,32.15B,9.58,+28.19%,52.00 116.00
115,SGRY,"Surgery Partners, Inc.",,22.80 +0.83 (+3.78%),0.83,+3.78%,1.375M,1.429M,2.923B,--,-25.45%,18.87 31.89
116,RMBS,Rambus Inc.,,105.42 +3.81 (+3.75%),3.81,+3.75%,1.944M,1.938M,11.343B,46.17,+133.59%,40.12 109.15
117,CIEN,Ciena Corporation,,179.05 +6.47 (+3.75%),6.47,+3.75%,1.707M,2.452M,25.307B,176.17,+169.15%,49.21 177.79
118,INOD,Innodata Inc.,,76.65 +2.75 (+3.72%),2.75,+3.72%,1.174M,2.438M,2.441B,57.70,+264.04%,19.29 93.85
119,DAL,"Delta Air Lines, Inc.",,60.95 +2.18 (+3.71%),2.18,+3.71%,8.036M,8.146M,39.798B,8.32,+8.59%,34.74 69.98
120,FLY,Firefly Aerospace Inc.,,26.92 +0.96 (+3.70%),0.96,+3.70%,1.312M,2.397M,3.945B,--,-56.98%,25.50 73.80
121,CHYM,"Chime Financial, Inc.",,18.85 +0.67 (+3.69%),0.67,+3.69%,2.49M,2.677M,7.007B,--,-51.01%,17.00 44.94
122,NXE,NexGen Energy Ltd.,,8.74 +0.31 (+3.68%),0.31,+3.68%,8.457M,8.814M,5.718B,--,+11.95%,3.91 9.80
123,ACMR,"ACM Research, Inc.",,41.72 +1.47 (+3.65%),1.47,+3.65%,857693,1.743M,2.678B,23.49,+106.20%,13.87 45.12
124,UBSI,"United Bankshares, Inc.",,36.43 +1.28 (+3.64%),1.28,+3.64%,811202,657357,5.16B,--,-5.23%,30.51 44.43
125,STC,Stewart Information Services Corporation,,74.71 +2.60 (+3.61%),2.6,+3.61%,263259,169400,2.092B,--,+4.46%,56.39 78.44
126,ARLO,"Arlo Technologies, Inc.",,19.44 +0.67 (+3.57%),0.67,+3.57%,1.542M,1.369M,2.029B,--,+72.04%,7.84 19.25
127,UNF,UniFirst Corporation,,161.45 +5.55 (+3.56%),5.55,+3.56%,219548,116751,2.891B,19.54,-16.64%,154.00 243.70
128,SRRK,Scholar Rock Holding Corporation,,29.68 +1.02 (+3.56%),1.02,+3.56%,1.494M,2.519M,2.853B,--,-4.18%,22.71 46.98
129,SHOP,Shopify Inc.,,172.95 +5.92 (+3.54%),5.92,+3.54%,6.841M,7.826M,224.184B,93.51,+111.30%,69.84 169.69
130,TEO,Telecom Argentina S.A.,,7.92 +0.27 (+3.53%),0.27,+3.53%,473093,269420,3.346B,--,-11.56%,6.43 15.54
131,AUB,Atlantic Union Bankshares Corporation,,34.09 +1.16 (+3.52%),1.16,+3.52%,847562,1.077M,4.832B,18.79,-10.54%,22.85 44.54
132,ACHR,Archer Aviation Inc.,,11.29 +0.38 (+3.48%),0.38,+3.48%,38.754M,42.986M,7.282B,--,+251.94%,3.05 14.62
133,JEF,Jefferies Financial Group Inc.,,56.80 +1.90 (+3.46%),1.9,+3.46%,1.797M,2.325M,11.717B,19.02,-14.25%,39.28 82.68
134,MP,MP Materials Corp.,,70.81 +2.36 (+3.45%),2.36,+3.45%,10.585M,14.779M,12.54B,--,+267.22%,15.56 100.25
135,STX,Seagate Technology Holdings plc,,234.12 +7.71 (+3.41%),7.71,+3.41%,3.361M,4.036M,49.86B,33.44,+119.79%,63.19 264.83
136,MTZ,"MasTec, Inc.",,211.88 +6.96 (+3.40%),6.96,+3.40%,849255,976335,16.719B,61.34,+68.04%,99.70 221.83
137,HII,"Huntington Ingalls Industries, Inc.",,299.91 +9.82 (+3.39%),9.82,+3.39%,522460,451326,11.769B,21.72,+14.29%,158.88 296.03
138,NVTS,Navitas Semiconductor Corporation,,14.07 +0.46 (+3.38%),0.46,+3.38%,34.525M,36.661M,2.998B,--,+433.73%,1.52 17.79
139,SLM,SLM Corporation,,27.62 +0.89 (+3.33%),0.89,+3.33%,9.379M,2.736M,5.758B,13.58,+22.05%,21.10 34.97
140,SOFI,"SoFi Technologies, Inc.",,29.01 +0.93 (+3.31%),0.93,+3.31%,52.238M,71.689M,34.738B,57.37,+155.51%,8.60 30.30
141,ETOR,eToro Group Ltd.,,39.27 +1.23 (+3.23%),1.23,+3.23%,446289,854562,3.287B,5.27,-26.85%,37.25 79.96
142,SPHR,Sphere Entertainment Co.,,67.24 +2.09 (+3.21%),2.09,+3.21%,861768,1.109M,2.421B,--,+46.97%,23.89 68.15
143,PFSI,"PennyMac Financial Services, Inc.",,132.67 +4.12 (+3.20%),4.12,+3.20%,618506,410006,6.882B,13.83,+27.43%,85.74 134.56
144,DAVE,Dave Inc.,,248.67 +7.71 (+3.20%),7.71,+3.20%,476456,481989,3.357B,58.91,+521.99%,37.44 286.45
145,FICO,Fair Isaac Corporation,,"1,667.00 +51.64 (+3.20%)",51.64,+3.20%,189334,354262,40.014B,63.21,-19.23%,"1,300.00 2,402.52"
146,CRL,"Charles River Laboratories International, Inc.",,197.04 +6.07 (+3.18%),6.07,+3.18%,1.742M,927476,9.697B,--,+4.86%,91.86 230.02
147,PWR,"Quanta Services, Inc.",,440.93 +13.57 (+3.18%),13.57,+3.18%,893038,1.052M,65.701B,66.34,+38.68%,227.08 446.60
148,FUN,Six Flags Entertainment Corporation,,25.71 +0.79 (+3.17%),0.79,+3.17%,3.498M,4.454M,2.604B,--,-38.51%,20.00 49.77
149,FROG,JFrog Ltd.,,49.83 +1.53 (+3.17%),1.53,+3.17%,350641,1.241M,5.817B,--,+64.96%,27.00 51.94
150,MIR,"Mirion Technologies, Inc.",,24.80 +0.76 (+3.16%),0.76,+3.16%,2.511M,4.817M,6.21B,522.11,+67.41%,12.00 25.54
151,GLXY,Galaxy Digital,,39.82 +1.22 (+3.16%),1.22,+3.16%,5.953M,8.854M,15.259B,--,+69.30%,17.40 45.92
152,VSEC,VSE Corporation,,182.99 +5.49 (+3.09%),5.49,+3.09%,117742,242654,3.784B,55.71,+72.46%,88.69 179.92
153,KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",,86.97 +2.60 (+3.08%),2.6,+3.08%,132940,231820,18.363B,--,-1.74%,72.68 101.74
154,SBET,"SharpLink Gaming, Inc.",,13.92 +0.41 (+3.07%),0.41,+3.07%,9.785M,29.849M,2.738B,--,+54.22%,2.28 124.12
155,PONY,Pony AI Inc.,,18.46 +0.55 (+3.07%),0.55,+3.07%,4.573M,7.372M,6.559B,--,+49.25%,4.11 24.92
156,ALVO,Alvotech,,8.40 +0.25 (+3.07%),0.25,+3.07%,388031,387881,2.617B,37.47,-37.69%,7.35 13.70
157,VCYT,"Veracyte, Inc.",,36.73 +1.09 (+3.06%),1.09,+3.06%,357939,1.399M,2.89B,106.17,+7.90%,22.61 47.32
158,CADE,Cadence Bank,,36.49 +1.08 (+3.05%),1.08,+3.05%,2.565M,2.205M,6.798B,12.78,+7.01%,25.22 40.23
159,WGS,GeneDx Holdings Corp.,,128.87 +3.80 (+3.04%),3.8,+3.04%,459757,667750,3.702B,2512.64,+112.63%,55.17 136.00
160,CRDO,Credo Technology Group Holding Ltd,,155.55 +4.58 (+3.03%),4.58,+3.03%,5.129M,5.433M,26.909B,214.20,+285.32%,29.09 176.70
